run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-162332-505 opt=global condiciones_iniciales=[{'id': 1, 'inicio': (31.57, 5.1), 'giro_inicial': 111.5, 'meta': (18.98, 2.76), 'angulo_llegada': 197.1, 'largo': 0.75, 'ancho': 0.41, 'v_max': 2.16, 'v_inicial': 0.0, 'a_max': 0.96, 'giro_max': 34.9, 'grupo': 2, 'prioridad': 3}, {'id': 2, 'inicio': (25.82, 5.28), 'giro_inicial': 72.6, 'meta': (17.65, 11.82), 'angulo_llegada': 159.7, 'largo': 0.8, 'ancho': 0.44, 'v_max': 2.58, 'v_inicial': 0.0, 'a_max': 0.77, 'giro_max': 30.6, 'grupo': 1, 'prioridad': 1}, {'id': 3, 'inicio': (20.99, 18.14), 'giro_inicial': 150.2, 'meta': (10.81, 8.05), 'angulo_llegada': 113.2, 'largo': 0.72, 'ancho': 0.38, 'v_max': 1.94, 'v_inicial': 0.0, 'a_max': 0.83, 'giro_max': 39.6, 'grupo': 1, 'prioridad': 2}]
20260718-162332-505,1,42,28.967317,2.794803,29.471809,3.484794,2.154121,3.580776,0.000000,-0.140382
20260718-162332-505,1,43,28.740827,2.737160,29.294817,3.388078,2.154121,3.506982,0.033284,-0.140382
20260718-162332-505,1,44,28.510703,2.696372,29.111177,3.304674,2.157450,3.433187,0.000000,-0.092653
20260718-162332-505,1,45,28.286628,2.659344,28.915943,3.237758,2.157450,3.384589,0.000000,-0.092653
20260718-162332-505,1,46,28.061019,2.633246,28.717690,3.180405,2.157450,3.335990,-0.000000,-0.092653
20260718-162332-505,1,47,27.834408,2.618138,28.516884,3.132750,2.157450,3.287392,0.007510,-0.092653
20260718-162332-505,1,48,27.607330,2.614057,28.314001,3.094907,2.158201,3.238793,-0.000000,-0.077861
20260718-162332-505,1,49,27.382157,2.616504,28.107861,3.068116,2.158201,3.197974,0.000000,-0.077861
20260718-162332-505,1,50,27.157270,2.628138,27.900800,3.049759,2.158201,3.157154,-0.000000,-0.077861
20260718-162332-505,1,51,26.933046,2.648940,27.693162,3.039868,2.158201,3.116334,0.017993,-0.077861
20260718-162332-505,1,52,26.709858,2.678875,27.485293,3.038458,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,53,26.494329,2.693137,27.269764,3.052720,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,54,26.278800,2.707400,27.054236,3.066983,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,55,26.063272,2.721662,26.838707,3.081245,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,56,25.847743,2.735924,26.623179,3.095507,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,57,25.632215,2.750187,26.407650,3.109770,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,58,25.416686,2.764449,26.192121,3.124032,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,59,25.201157,2.778712,25.976593,3.138295,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,60,24.985629,2.792974,25.761064,3.152557,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,61,24.770100,2.807237,25.545535,3.166820,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,62,24.554571,2.821499,25.330007,3.181082,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,63,24.339043,2.835761,25.114478,3.195344,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,64,24.123514,2.850024,24.898950,3.209607,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,65,23.907986,2.864286,24.683421,3.223869,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,66,23.692457,2.878549,24.467892,3.238132,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,67,23.476928,2.892811,24.252364,3.252394,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,68,23.261400,2.907073,24.036835,3.266656,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,69,23.045871,2.921336,23.821307,3.280919,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,70,22.830343,2.935598,23.605778,3.295181,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,71,22.614814,2.949861,23.390249,3.309444,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,72,22.399285,2.964123,23.174721,3.323706,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,73,22.183757,2.978385,22.959192,3.337968,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,74,21.968228,2.992648,22.743663,3.352231,2.160000,3.075515,0.000000,0.000000
20260718-162332-505,1,75,21.752699,3.006910,22.528135,3.366493,2.160000,3.075515,-0.017993,0.000000
20260718-162332-505,1,76,21.537171,3.021173,22.312606,3.380756,2.158201,3.075515,-0.000000,0.077861
20260718-162332-505,1,77,21.328900,3.010956,22.089015,3.401883,2.158201,3.116334,0.000000,0.077861
20260718-162332-505,1,78,21.121219,2.992248,21.864748,3.413869,2.158201,3.157154,0.000000,0.077861
20260718-162332-505,1,79,20.914475,2.965081,21.640179,3.416692,2.158201,3.197974,-0.000000,0.077861
20260718-162332-505,1,80,20.709011,2.929499,21.415682,3.410349,2.158201,3.238793,0.000000,0.077861
20260718-162332-505,1,81,20.505171,2.885563,21.191630,3.394850,2.158201,3.279613,-0.000000,0.077861
20260718-162332-505,1,82,20.303294,2.833344,20.968398,3.370221,2.158201,3.320432,0.000000,0.077861
20260718-162332-505,1,83,20.103715,2.772931,20.746356,3.336502,2.158201,3.361252,0.005957,0.077861
20260718-162332-505,1,84,19.906768,2.704424,20.525876,3.293751,2.158796,3.402071,0.000000,-0.063705
20260718-162332-505,1,85,19.686651,2.666289,20.325084,3.234622,2.158796,3.368687,-0.000000,-0.063705
20260718-162332-505,1,86,19.465384,2.635522,20.122432,3.182229,2.158796,3.335302,0.000000,-0.063705
20260718-162332-505,1,87,19.243213,2.612158,19.918143,3.136629,2.158796,3.301917,-0.947964,-0.063705
20260718-162332-505,1,88,19.020386,2.596223,19.712446,3.097874,2.064000,3.268533,-0.960000,0.000000
20260718-162332-505,1,89,18.815647,2.570093,19.507706,3.071743,1.968000,3.268533,-0.960000,0.000000
20260718-162332-505,1,90,18.620430,2.545178,19.312490,3.046829,1.872000,3.268533,-0.960000,0.000000
20260718-162332-505,1,91,18.434736,2.521479,19.126796,3.023129,1.776000,3.268533,-0.960000,0.000000
20260718-162332-505,1,92,18.258565,2.498995,18.950625,3.000645,1.680000,3.268533,-0.960000,0.000000
20260718-162332-505,1,93,18.091917,2.477726,18.783977,2.979377,1.584000,3.268533,-0.960000,0.000000
20260718-162332-505,1,94,17.934792,2.457673,18.626851,2.959323,1.488000,3.268533,-0.960000,0.000000
20260718-162332-505,1,95,17.787189,2.438835,18.479248,2.940485,1.392000,3.268533,-0.960000,0.000000
20260718-162332-505,1,96,17.649109,2.421212,18.341169,2.922863,1.296000,3.268533,-0.960000,0.000000
20260718-162332-505,1,97,17.520552,2.404805,18.212611,2.906455,1.200000,3.268533,-0.960000,0.000000
20260718-162332-505,1,98,17.401517,2.389613,18.093577,2.891263,1.104000,3.268533,-0.960000,0.000000
