run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-164725-248 opt=global condiciones_iniciales=[{'id': 1, 'inicio': (9.599, 7.595), 'giro_inicial': 197.042, 'meta': (37.203, 18.13), 'angulo_llegada': 304.458, 'largo': 1.18, 'ancho': 0.61, 'v_max': 2.39, 'v_inicial': 0.0, 'a_max': 0.68, 'giro_max': 39.4, 'grupo': 2, 'prioridad': 3}, {'id': 2, 'inicio': (31.27, 9.37), 'giro_inicial': 301.1, 'meta': (26.2, 17.82), 'angulo_llegada': 55.3, 'largo': 0.99, 'ancho': 0.55, 'v_max': 2.92, 'v_inicial': 0.0, 'a_max': 0.8, 'giro_max': 29.8, 'grupo': 1, 'prioridad': 1}, {'id': 3, 'inicio': (18.17, 3.56), 'giro_inicial': 158.2, 'meta': (9.56, 12.58), 'angulo_llegada': 233.0, 'largo': 0.71, 'ancho': 0.37, 'v_max': 1.81, 'v_inicial': 0.0, 'a_max': 0.85, 'giro_max': 38.9, 'grupo': 2, 'prioridad': 2}]
20260718-164725-248,1,0,9.124162,7.129995,10.073576,8.059034,-0.067998,3.439030,-0.679887,2.550474
20260718-164725-248,1,1,9.133928,7.128707,10.076785,8.064400,-0.135987,3.446062,-0.679708,2.558972
20260718-164725-248,1,2,9.153349,7.126499,10.083198,8.075120,-0.203958,3.459869,-0.679459,2.567452
20260718-164725-248,1,3,9.182328,7.123923,10.092703,8.091248,-0.271904,3.480196,-0.678390,2.575917
20260718-164725-248,1,4,9.220758,7.121702,10.105085,8.112897,-0.339743,3.506795,-0.678306,2.502484
20260718-164725-248,1,5,9.271630,7.118249,10.116736,8.143088,-0.407573,3.545698,-0.677766,2.512131
20260718-164725-248,1,6,9.332241,7.117206,10.129607,8.179613,-0.475350,3.591435,-0.677192,2.521765
20260718-164725-248,1,7,9.402264,7.120011,10.143034,8.222626,-0.543069,3.643705,-0.676599,2.531390
20260718-164725-248,1,8,9.481208,7.128221,10.156234,8.272266,-0.610729,3.702215,-0.675996,2.541007
20260718-164725-248,1,9,9.568384,7.143480,10.168314,8.328631,-0.678329,3.766675,-0.675395,2.550621
20260718-164725-248,1,10,9.662863,7.167474,10.178273,8.391751,-0.745868,3.836803,-0.674804,2.560232
20260718-164725-248,1,11,9.763443,7.201886,10.185016,8.461559,-0.813348,3.912323,-0.674233,2.569844
20260718-164725-248,1,12,9.868632,7.248332,10.187368,8.537870,-0.880772,3.992961,-0.673687,2.579458
20260718-164725-248,1,13,9.976629,7.308303,10.184094,8.620346,-0.948140,4.078449,-0.673176,2.589076
20260718-164725-248,1,14,10.085323,7.383095,10.173922,8.708482,-1.015458,4.168526,-0.672703,2.598700
20260718-164725-248,1,15,10.192306,7.473740,10.155572,8.801577,-1.082728,4.262932,0.672703,2.608331
20260718-164725-248,1,16,10.294902,7.580930,10.127790,8.898721,-1.015458,4.361413,0.673176,2.598700
20260718-164725-248,1,17,10.382525,7.690402,10.091935,8.986572,-0.948140,4.455819,0.673687,2.589076
20260718-164725-248,1,18,10.456012,7.799983,10.050002,9.064758,-0.880772,4.545896,0.674233,2.579458
20260718-164725-248,1,19,10.516419,7.907736,10.003900,9.133225,-0.813348,4.631385,0.674804,2.569844
20260718-164725-248,1,20,10.564973,8.011969,9.955406,9.192192,-0.745868,4.712022,0.675395,2.560232
20260718-164725-248,1,21,10.603011,8.111235,9.906136,9.242104,-0.678329,4.787542,0.675996,2.550621
20260718-164725-248,1,22,10.631931,8.204324,9.857528,9.283583,-0.610729,4.857670,0.676599,2.541007
20260718-164725-248,1,23,10.653145,8.290245,9.810829,9.317379,-0.543069,4.922131,0.677192,2.531390
20260718-164725-248,1,24,10.668037,8.368206,9.767100,9.344327,-0.475350,4.980640,0.677766,2.521765
20260718-164725-248,1,25,10.677924,8.437584,9.727219,9.365301,-0.407573,5.032910,0.678306,2.512131
20260718-164725-248,1,26,10.684024,8.497896,9.691896,9.381176,-0.339743,5.078647,0.678799,2.502484
20260718-164725-248,1,27,10.687424,8.548771,9.661693,9.392795,-0.271863,5.117550,0.678685,2.492820
20260718-164725-248,1,28,10.689058,8.589917,9.637040,9.400940,-0.203994,5.149314,0.679961,2.908451
20260718-164725-248,1,29,10.683299,8.612273,9.625258,9.415421,-0.135998,5.156777,0.679985,2.904990
20260718-164725-248,1,30,10.679413,8.627200,9.617327,9.424992,-0.068000,5.161830,0.679998,2.901528
20260718-164725-248,1,31,10.677464,8.634680,9.613335,9.429746,0.000000,5.164395,0.680000,0.000000
20260718-164725-248,1,32,10.677464,8.634680,9.613335,9.429746,0.068000,5.164395,0.680000,0.033974
20260718-164725-248,1,33,10.680578,8.628754,9.616166,9.423441,0.136000,5.164751,0.679999,0.033484
20260718-164725-248,1,34,10.686810,8.616900,9.621840,9.410839,0.204000,5.165453,0.679999,0.032994
20260718-164725-248,1,35,10.696170,8.599120,9.630377,9.391954,0.272000,5.166490,0.679998,0.032503
20260718-164725-248,1,36,10.708674,8.575419,9.641802,9.366800,0.340000,5.167853,0.679997,0.032013
20260718-164725-248,1,37,10.724345,8.545806,9.656146,9.335396,0.407999,5.169531,0.679996,0.031523
20260718-164725-248,1,38,10.743207,8.510291,9.673446,9.297761,0.475999,5.171513,0.679994,0.031033
20260718-164725-248,1,39,10.765294,8.468887,9.693742,9.253920,0.543998,5.173790,0.677252,0.030542
20260718-164725-248,1,40,10.790641,8.421611,9.717083,9.203898,0.611723,5.176351,0.679102,0.308784
