run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-163441-857 opt=prioridades condiciones_iniciales=[{'id': 1, 'inicio': (29.345, 19.428), 'giro_inicial': 238.675, 'meta': (19.132, 18.228), 'angulo_llegada': 71.04, 'largo': 0.97, 'ancho': 0.53, 'v_max': 2.72, 'v_inicial': 0.0, 'a_max': 0.95, 'giro_max': 28.5, 'grupo': 1, 'prioridad': 2}, {'id': 2, 'inicio': (23.62, 13.3), 'giro_inicial': 223.2, 'meta': (31.51, 6.28), 'angulo_llegada': 156.7, 'largo': 1.06, 'ancho': 0.57, 'v_max': 2.64, 'v_inicial': 0.0, 'a_max': 0.64, 'giro_max': 31.9, 'grupo': 2, 'prioridad': 3}, {'id': 3, 'inicio': (25.36, 18.67), 'giro_inicial': 124.3, 'meta': (16.97, 10.03), 'angulo_llegada': 56.2, 'largo': 1.12, 'ancho': 0.62, 'v_max': 1.81, 'v_inicial': 0.0, 'a_max': 0.98, 'giro_max': 38.6, 'grupo': 2, 'prioridad': 3}]
20260718-163441-857,1,0,29.318833,18.875499,29.370378,19.979647,0.095000,4.165671,0.949996,-0.060313
20260718-163441-857,1,1,29.313292,18.867417,29.366024,19.971509,0.190000,4.164596,0.949990,-0.059241
20260718-163441-857,1,2,29.302197,18.851275,29.357260,19.955253,0.284999,4.162484,0.949982,-0.058169
20260718-163441-857,1,3,29.285510,18.827111,29.344008,19.930913,0.379997,4.159373,0.948965,-0.057097
20260718-163441-857,1,4,29.263172,18.794981,29.326163,19.898535,0.474893,4.155302,0.949296,-0.233740
20260718-163441-857,1,5,29.225523,18.755995,29.311887,19.857967,0.569823,4.134108,0.949071,-0.229287
20260718-163441-857,1,6,29.179467,18.710302,29.293271,19.809779,0.664730,4.109180,0.948834,-0.224835
20260718-163441-857,1,7,29.124557,18.658480,29.269642,19.754267,0.759613,4.080684,0.948590,-0.220384
20260718-163441-857,1,8,29.060308,18.601201,29.240265,19.691804,0.854472,4.048787,0.948345,-0.215933
