run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-163034-568 opt=secuencial condiciones_iniciales=[{'id': 1, 'inicio': (16.87, 6.24), 'giro_inicial': 198.4, 'meta': (21.55, 13.57), 'angulo_llegada': 205.6, 'largo': 0.9, 'ancho': 0.45, 'v_max': 2.03, 'v_inicial': 0.0, 'a_max': 0.64, 'giro_max': 36.5, 'grupo': 1, 'prioridad': 3}, {'id': 2, 'inicio': (17.22, 7.84), 'giro_inicial': 210.8, 'meta': (16.86, 17.76), 'angulo_llegada': 176.0, 'largo': 0.8, 'ancho': 0.47, 'v_max': 1.85, 'v_inicial': 0.0, 'a_max': 0.87, 'giro_max': 37.2, 'grupo': 2, 'prioridad': 2}, {'id': 3, 'inicio': (24.32, 4.3), 'giro_inicial': 90.8, 'meta': (21.24, 18.11), 'angulo_llegada': 80.3, 'largo': 1.05, 'ancho': 0.6, 'v_max': 2.77, 'v_inicial': 0.0, 'a_max': 0.99, 'giro_max': 38.2, 'grupo': 1, 'prioridad': 2}, {'id': 4, 'inicio': (25.79, 18.55), 'giro_inicial': 30.5, 'meta': (30.95, 8.34), 'angulo_llegada': 349.8, 'largo': 1.07, 'ancho': 0.56, 'v_max': 2.28, 'v_inicial': 0.0, 'a_max': 0.76, 'giro_max': 39.4, 'grupo': 1, 'prioridad': 1}]
20260718-163034-568,1,0,16.514027,5.884461,17.225973,6.595539,-0.064000,3.462733,-0.640000,3.141593
20260718-163034-568,1,1,16.520100,5.886481,17.232046,6.597559,-0.128000,3.462733,-0.640000,3.141593
20260718-163034-568,1,2,16.532245,5.890521,17.244192,6.601600,-0.192000,3.462733,-0.640000,3.141593
20260718-163034-568,1,3,16.550464,5.896582,17.262410,6.607660,-0.256000,3.462733,0.001125,3.141593
20260718-163034-568,1,4,16.574755,5.904662,17.286701,6.615741,-0.255888,3.462733,0.000000,-2.620928
20260718-163034-568,1,5,16.588893,5.922727,17.321603,6.612391,-0.255888,3.433089,-0.000000,-2.620928
20260718-163034-568,1,6,16.603561,5.940364,17.356390,6.608008,-0.255888,3.403445,0.000000,-2.620928
20260718-163034-568,1,7,16.618745,5.957558,17.391032,6.602596,-0.255888,3.373801,0.000456,-2.620928
20260718-163034-568,1,8,16.634432,5.974296,17.425498,6.596159,-0.255842,3.344158,-0.000000,-2.544429
20260718-163034-568,1,9,16.648993,5.992652,17.461421,6.586335,-0.255842,3.309013,0.000000,-2.544429
