run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-162134-860 opt=secuencial condiciones_iniciales=[{'id': 1, 'inicio': (20.99, 13.36), 'giro_inicial': 85.0, 'meta': (31.16, 8.71), 'angulo_llegada': 346.3, 'largo': 0.74, 'ancho': 0.45, 'v_max': 1.99, 'v_inicial': 0.0, 'a_max': 0.9, 'giro_max': 36.6, 'grupo': 2, 'prioridad': 3}, {'id': 2, 'inicio': (18.52, 13.49), 'giro_inicial': 331.3, 'meta': (17.07, 12.58), 'angulo_llegada': 12.8, 'largo': 0.97, 'ancho': 0.54, 'v_max': 2.29, 'v_inicial': 0.0, 'a_max': 0.64, 'giro_max': 36.7, 'grupo': 1, 'prioridad': 1}]
20260718-162134-860,1,51,27.490771,14.028228,26.725335,13.623001,1.989990,-0.059464,-0.003599,-0.006501
20260718-162134-860,1,52,27.690022,14.014553,26.923303,13.611761,1.989630,-0.062643,-0.000000,-0.039423
20260718-162134-860,1,53,27.892167,13.990839,27.117824,13.602905,1.989630,-0.081925,-0.000000,-0.039423
20260718-162134-860,1,54,28.093816,13.963232,27.312138,13.590300,1.989630,-0.101207,0.000000,-0.039423
20260718-162134-860,1,55,28.294896,13.931743,27.506172,13.573951,1.989630,-0.120489,-0.012203,-0.039423
20260718-162134-860,1,56,28.495331,13.896382,27.699856,13.553864,1.988410,-0.139771,-0.000000,-0.081651
20260718-162134-860,1,57,28.697652,13.844770,27.889122,13.534320,1.988410,-0.179751,0.000000,-0.081651
20260718-162134-860,1,58,28.897749,13.785112,28.077456,13.507227,1.988410,-0.219730,-0.000000,-0.081651
20260718-162134-860,1,59,29.095301,13.717505,28.264557,13.472628,1.988410,-0.259710,-0.006641,-0.081651
20260718-162134-860,1,60,29.289993,13.642055,28.450125,13.430578,1.987746,-0.299690,0.000000,-0.097162
20260718-162134-860,1,61,29.481668,13.554223,28.632689,13.382950,1.987746,-0.347293,-0.000000,-0.097162
20260718-162134-860,1,62,29.668946,13.457369,28.812779,13.326689,1.987746,-0.394896,0.000000,-0.097162
20260718-162134-860,1,63,29.851404,13.351713,28.989988,13.261922,1.987746,-0.442498,-0.058365,-0.097162
20260718-162134-860,1,64,30.028627,13.237495,29.163914,13.188795,1.981909,-0.490101,-0.000000,-0.183166
20260718-162134-860,1,65,30.195486,13.089340,29.329901,13.118735,1.981909,-0.580306,-0.000000,-0.183166
20260718-162134-860,1,66,30.348319,12.926757,29.488902,13.034006,1.981909,-0.670511,0.000000,-0.183166
20260718-162134-860,1,67,30.485886,12.751067,29.639624,12.935299,1.981909,-0.760716,-0.000000,-0.183166
20260718-162134-860,1,68,30.607066,12.563699,29.780841,12.823415,1.981909,-0.850921,0.000000,-0.183166
20260718-162134-860,1,69,30.710876,12.366177,29.911406,12.699266,1.981909,-0.941126,-0.000000,-0.183166
20260718-162134-860,1,70,30.796469,12.160106,30.030256,12.563859,1.981909,-1.031331,-0.000000,-0.183166
20260718-162134-860,1,71,30.863152,11.947163,30.136424,12.418296,1.981909,-1.121536,0.028905,-0.183166
20260718-162134-860,1,72,30.910381,11.729078,30.229049,12.263762,1.984800,-1.211741,-0.000000,-0.147204
20260718-162134-860,1,73,30.946460,11.514290,30.305537,12.096801,1.984800,-1.284050,0.000000,-0.147204
20260718-162134-860,1,74,30.966927,11.297457,30.369763,11.924749,1.984800,-1.356360,0.000000,-0.147204
20260718-162134-860,1,75,30.971675,11.079711,30.421392,11.748508,1.984800,-1.428669,0.036101,-0.147204
20260718-162134-860,1,76,30.960679,10.862192,30.460152,11.568997,1.988410,-1.500979,-0.000000,-0.081651
20260718-162134-860,1,77,30.952291,10.653560,30.480414,11.379806,1.988410,-1.540959,0.000000,-0.081651
20260718-162134-860,1,78,30.935570,10.445430,30.493098,11.189956,1.988410,-1.580938,0.000000,-0.081651
20260718-162134-860,1,79,30.910544,10.238135,30.498184,10.999751,1.988410,-1.620918,-0.884194,-0.081651
20260718-162134-860,1,80,30.877253,10.032006,30.495663,10.809495,1.899990,-1.660898,-0.899994,-0.006795
20260718-162134-860,1,81,30.858322,9.842228,30.479201,10.620924,1.809991,-1.664070,-0.899994,-0.007089
20260718-162134-860,1,82,30.839668,9.661473,30.463003,10.441361,1.719992,-1.667223,-0.899993,-0.007383
20260718-162134-860,1,83,30.821356,9.489739,30.447127,10.270798,1.629992,-1.670343,-1.061924,-0.007677
20260718-162134-860,1,84,30.803457,9.327023,30.431631,10.109229,1.523800,-1.673418,-0.884443,0.369909
20260718-162134-860,1,85,30.864632,9.204172,30.383558,9.924359,1.435356,-1.528242,-0.884123,0.383380
20260718-162134-860,1,86,30.939894,9.099378,30.361583,9.744091,1.346943,-1.385998,-0.884087,0.396812
20260718-162134-860,1,87,31.024909,9.013497,30.363028,9.572079,1.258535,-1.247319,-0.827155,0.410204
20260718-162134-860,1,88,31.115513,8.946473,30.384719,9.411275,1.175819,-1.112847,-0.893426,0.283610
20260718-162134-860,1,89,31.194651,8.876950,30.427354,9.278641,1.086477,-1.028642,-0.893804,0.292636
20260718-162134-860,1,90,31.273108,8.819873,30.476020,9.158620,0.997096,-0.948215,-0.894277,0.301653
20260718-162134-860,1,91,31.349180,8.774154,30.528609,9.051217,0.907668,-0.871987,-0.891468,0.310660
20260718-162134-860,1,92,31.421414,8.738556,30.583125,8.956207,0.818522,-0.800387,-0.896287,0.290195
20260718-162134-860,1,93,31.487726,8.708598,30.637885,8.875541,0.728893,-0.740331,-0.896836,0.298378
20260718-162134-860,1,94,31.548198,8.685919,30.690455,8.805822,0.639209,-0.685250,-0.897405,0.306558
