run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-163124-574 opt=secuencial condiciones_iniciales=[{'id': 1, 'inicio': (15.423, 18.128), 'giro_inicial': 283.306, 'meta': (26.082, 19.415), 'angulo_llegada': 260.292, 'largo': 0.91, 'ancho': 0.52, 'v_max': 2.96, 'v_inicial': 0.0, 'a_max': 0.85, 'giro_max': 28.5, 'grupo': 1, 'prioridad': 1}, {'id': 2, 'inicio': (26.07, 12.75), 'giro_inicial': 307.8, 'meta': (23.9, 3.3), 'angulo_llegada': 34.8, 'largo': 0.77, 'ancho': 0.47, 'v_max': 2.0, 'v_inicial': 0.0, 'a_max': 0.92, 'giro_max': 39.4, 'grupo': 2, 'prioridad': 2}, {'id': 3, 'inicio': (33.81, 18.08), 'giro_inicial': 332.2, 'meta': (10.33, 7.33), 'angulo_llegada': 215.0, 'largo': 0.92, 'ancho': 0.54, 'v_max': 2.46, 'v_inicial': 0.0, 'a_max': 0.99, 'giro_max': 29.3, 'grupo': 2, 'prioridad': 1}, {'id': 4, 'inicio': (17.1, 2.99), 'giro_inicial': 19.9, 'meta': (17.79, 8.52), 'angulo_llegada': 259.1, 'largo': 1.04, 'ancho': 0.54, 'v_max': 2.76, 'v_inicial': 0.0, 'a_max': 0.76, 'giro_max': 37.5, 'grupo': 2, 'prioridad': 3}, {'id': 5, 'inicio': (17.02, 13.53), 'giro_inicial': 354.2, 'meta': (30.3, 19.4), 'angulo_llegada': 236.7, 'largo': 0.98, 'ancho': 0.56, 'v_max': 2.49, 'v_inicial': 0.0, 'a_max': 0.61, 'giro_max': 32.4, 'grupo': 2, 'prioridad': 2}, {'id': 6, 'inicio': (27.8, 18.75), 'giro_inicial': 291.5, 'meta': (17.25, 12.21), 'angulo_llegada': 228.2, 'largo': 1.0, 'ancho': 0.52, 'v_max': 2.53, 'v_inicial': 0.0, 'a_max': 0.86, 'giro_max': 34.4, 'grupo': 1, 'prioridad': 1}]
20260718-163124-574,1,34,19.792434,19.126650,19.306439,18.198044,2.958598,6.852676,0.000000,-0.052018
20260718-163124-574,1,35,20.060683,19.270810,19.546344,18.357599,2.958598,6.821899,-0.000000,-0.052018
20260718-163124-574,1,36,20.333243,19.406647,19.791045,18.509696,2.958598,6.791122,0.000000,-0.052018
20260718-163124-574,1,37,20.609853,19.534032,20.040311,18.654191,2.958598,6.760344,0.000000,-0.052018
20260718-163124-574,1,38,20.890252,19.652846,20.293904,18.790947,2.958598,6.729567,-0.000000,-0.052018
20260718-163124-574,1,39,21.174174,19.762974,20.551587,18.919834,2.958598,6.698790,-0.856297,-0.052018
20260718-163124-574,1,40,21.461351,19.864313,20.813113,19.040731,2.872969,6.668013,-0.849305,-0.065401
20260718-163124-574,1,41,21.746941,19.949675,21.068206,19.151040,2.788038,6.630418,-0.849248,-0.067226
20260718-163124-574,1,42,22.027399,20.021709,21.319196,19.249085,2.703113,6.592913,-0.849198,-0.069051
20260718-163124-574,1,43,22.302107,20.080985,21.565544,19.335348,2.618193,6.555560,-0.856338,-0.070876
20260718-163124-574,1,44,22.570480,20.128119,21.806740,19.410344,2.532560,6.518421,-0.848753,-0.086507
20260718-163124-574,1,45,22.834729,20.159234,22.040236,19.475654,2.447684,6.474539,-0.848711,-0.088678
20260718-163124-574,1,46,23.091537,20.177740,22.268081,19.529341,2.362813,6.431057,-0.848680,-0.090848
20260718-163124-574,1,47,23.340296,20.184493,22.489724,19.572098,2.277945,6.388050,-0.855595,-0.093018
20260718-163124-574,1,48,23.580465,20.180385,22.704667,19.604645,2.192386,6.345591,-0.848160,-0.110973
20260718-163124-574,1,49,23.813469,20.161661,22.910622,19.629338,2.107570,6.296780,-0.848158,-0.113501
20260718-163124-574,1,50,24.036595,20.132436,23.109246,19.644046,2.022754,6.248780,-0.848168,-0.116028
20260718-163124-574,1,51,24.249407,20.093845,23.300090,19.649662,1.937937,6.201676,0.000000,-0.118554
20260718-163124-574,1,52,24.451564,20.047032,23.482778,19.647089,1.937937,6.155555,-0.000000,-0.118554
20260718-163124-574,1,53,24.651347,19.990948,23.665152,19.636096,1.937937,6.109435,0.000000,-0.118554
20260718-163124-574,1,54,24.848332,19.925714,23.846826,19.616707,1.937937,6.063314,0.000000,-0.118554
20260718-163124-574,1,55,25.042101,19.851467,24.027413,19.588962,1.937937,6.017194,0.016187,-0.118554
20260718-163124-574,1,56,25.232240,19.768365,24.206528,19.552921,1.939556,5.971073,-0.000000,-0.055170
20260718-163124-574,1,57,25.417738,19.693856,24.387651,19.500412,1.939556,5.949672,-0.000000,-0.055170
20260718-163124-574,1,58,25.601599,19.615395,24.567608,19.444038,1.939556,5.928270,0.000000,-0.055170
20260718-163124-574,1,59,25.783739,19.533018,24.746318,19.383827,1.939556,5.906869,-0.845557,-0.055170
20260718-163124-574,1,60,25.964074,19.446761,24.923698,19.319805,1.855000,5.885467,-0.850000,0.000000
20260718-163124-574,1,61,26.135095,19.374914,25.094719,19.247958,1.770000,5.885467,-0.850000,0.000000
20260718-163124-574,1,62,26.298280,19.306359,25.257904,19.179404,1.685000,5.885467,-0.850000,0.000000
20260718-163124-574,1,63,26.453628,19.241096,25.413252,19.114141,1.600000,5.885467,-0.850000,0.000000
20260718-163124-574,1,64,26.601139,19.179126,25.560763,19.052170,1.515000,5.885467,-0.850000,0.000000
20260718-163124-574,1,65,26.740814,19.120448,25.700438,18.993492,1.430000,5.885467,-0.850000,0.000000
20260718-163124-574,1,66,26.872653,19.065061,25.832277,18.938106,1.345000,5.885467,-0.850000,0.000000
20260718-163124-574,1,67,26.996655,19.012968,25.956279,18.886012,1.260000,5.885467,-0.850000,0.000000
20260718-163124-574,1,68,27.112820,18.964166,26.072444,18.837210,1.175000,5.885467,-0.850000,0.000000
20260718-163124-574,1,69,27.221149,18.918656,26.180773,18.791701,1.090000,5.885467,-0.850000,0.000000
20260718-163124-574,1,70,27.321641,18.876439,26.281265,18.749483,1.005000,5.885467,-0.850000,0.000000
20260718-163124-574,1,71,27.414297,18.837514,26.373921,18.710558,0.920000,5.885467,-0.850000,0.000000
20260718-163124-574,1,72,27.499116,18.801881,26.458740,18.674925,0.835000,5.885467,-0.850000,0.000000
20260718-163124-574,1,73,27.576099,18.769540,26.535723,18.642584,0.750000,5.885467,-0.850000,0.000000
20260718-163124-574,1,74,27.645245,18.740491,26.604869,18.613536,0.665000,5.885467,-0.850000,0.000000
20260718-163124-574,1,75,27.706554,18.714735,26.666178,18.587779,0.580000,5.885467,-0.850000,0.000000
20260718-163124-574,1,76,27.760027,18.692270,26.719651,18.565315,0.495000,5.885467,-0.850000,0.000000
20260718-163124-574,1,77,27.805663,18.673098,26.765287,18.546143,0.410000,5.885467,-0.850000,0.000000
20260718-163124-574,1,78,27.843463,18.657218,26.803087,18.530263,0.325000,5.885467,-0.850000,0.000000
20260718-163124-574,1,79,27.873427,18.644631,26.833051,18.517675,0.240000,5.885467,-0.850000,0.000000
20260718-163124-574,1,80,27.895553,18.635335,26.855177,18.508379,0.155000,5.885467,-0.850000,0.000000
20260718-163124-574,1,81,27.909844,18.629332,26.869467,18.502376,0.070000,5.885467,-0.700000,0.000000
20260718-163124-574,1,82,27.916297,18.626620,26.875921,18.499665,0.000000,5.885467,-0.849992,0.000000
20260718-163124-574,1,83,27.916297,18.626620,26.875921,18.499665,-0.084999,5.885467,-0.849948,-2.896452
20260718-163124-574,1,84,27.908740,18.627735,26.867834,18.505201,-0.169994,5.881219,-0.849865,-2.900017
20260718-163124-574,1,85,27.893645,18.630159,26.851750,18.516340,-0.254981,5.872850,-0.849747,-2.903579
20260718-163124-574,1,86,27.871053,18.634177,26.827831,18.533244,-0.339955,5.860490,-0.849601,-2.907137
20260718-163124-574,1,87,27.841026,18.640157,26.796304,18.556161,-0.424915,5.844267,-0.849430,-2.910694
20260718-163124-574,1,88,27.803657,18.648549,26.757466,18.585419,-0.509858,5.824308,-0.849240,-2.914248
20260718-163124-574,1,89,27.759076,18.659874,26.711689,18.621416,-0.594782,5.800741,-0.849034,-2.917801
20260718-163124-574,1,90,27.707462,18.674724,26.659417,18.664606,-0.679686,5.773693,-0.848817,-2.921353
