run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-163608-164 opt=secuencial condiciones_iniciales=[{'id': 1, 'inicio': (16.72, 12.85), 'giro_inicial': 245.5, 'meta': (31.45, 18.74), 'angulo_llegada': 33.8, 'largo': 0.94, 'ancho': 0.5, 'v_max': 2.04, 'v_inicial': 0.0, 'a_max': 0.85, 'giro_max': 31.5, 'grupo': 1, 'prioridad': 3}, {'id': 2, 'inicio': (25.03, 6.46), 'giro_inicial': 154.7, 'meta': (31.52, 3.08), 'angulo_llegada': 313.4, 'largo': 1.15, 'ancho': 0.69, 'v_max': 2.34, 'v_inicial': 0.0, 'a_max': 0.91, 'giro_max': 32.6, 'grupo': 1, 'prioridad': 3}, {'id': 3, 'inicio': (10.2, 7.97), 'giro_inicial': 13.6, 'meta': (24.0, 6.2), 'angulo_llegada': 266.1, 'largo': 0.91, 'ancho': 0.49, 'v_max': 2.2, 'v_inicial': 0.0, 'a_max': 0.61, 'giro_max': 39.4, 'grupo': 1, 'prioridad': 3}, {'id': 4, 'inicio': (29.93, 19.87), 'giro_inicial': 189.5, 'meta': (21.68, 17.38), 'angulo_llegada': 66.7, 'largo': 0.92, 'ancho': 0.56, 'v_max': 1.98, 'v_inicial': 0.0, 'a_max': 0.88, 'giro_max': 29.6, 'grupo': 1, 'prioridad': 1}, {'id': 5, 'inicio': (9.38, 9.9), 'giro_inicial': 274.9, 'meta': (17.12, 16.71), 'angulo_llegada': 83.5, 'largo': 0.71, 'ancho': 0.39, 'v_max': 2.78, 'v_inicial': 0.0, 'a_max': 0.86, 'giro_max': 34.4, 'grupo': 1, 'prioridad': 2}, {'id': 6, 'inicio': (31.04, 17.39), 'giro_inicial': 358.2, 'meta': (17.55, 19.32), 'angulo_llegada': 50.2, 'largo': 1.0, 'ancho': 0.53, 'v_max': 1.81, 'v_inicial': 0.0, 'a_max': 0.63, 'giro_max': 28.0, 'grupo': 2, 'prioridad': 1}]
20260718-163608-164,1,0,16.752584,12.318645,16.687416,13.381355,-0.085000,4.284783,-0.850000,3.141593
20260718-163608-164,1,1,16.756109,12.326380,16.690940,13.389090,-0.170000,4.284783,-0.850000,3.141593
20260718-163608-164,1,2,16.763159,12.341849,16.697990,13.404559,-0.255000,4.284783,-0.850000,3.141593
20260718-163608-164,1,3,16.773734,12.365053,16.708565,13.427763,-0.340000,4.284783,-0.850000,3.141593
20260718-163608-164,1,4,16.787833,12.395992,16.722664,13.458702,-0.425000,4.284783,-0.850000,3.141593
20260718-163608-164,1,5,16.805458,12.434665,16.740289,13.497375,-0.510000,4.284783,-0.850000,3.141593
20260718-163608-164,1,6,16.826607,12.481073,16.761438,13.543783,-0.595000,4.284783,-0.850000,3.141593
20260718-163608-164,1,7,16.851281,12.535216,16.786112,13.597926,-0.680000,4.284783,-0.838021,3.141593
20260718-163608-164,1,8,16.879481,12.597093,16.814312,13.659803,-0.763802,4.284783,-0.846452,-2.779451
20260718-163608-164,1,9,16.885274,12.663831,16.879656,13.728522,-0.848447,4.228813,-0.846024,-2.788650
20260718-163608-164,1,10,16.897101,12.737362,16.955818,13.800448,-0.933050,4.168360,-0.845640,-2.797853
20260718-163608-164,1,11,16.916306,12.817076,17.043529,13.874155,-1.017614,4.103760,-0.000000,-2.807061
20260718-163608-164,1,12,16.944224,12.902163,17.143416,13.948071,-1.017614,4.035342,-0.000000,-2.807061
20260718-163608-164,1,13,16.977894,12.985142,17.248122,14.014985,-1.017614,3.966925,0.000000,-2.807061
20260718-163608-164,1,14,17.017158,13.065625,17.357158,14.074585,-1.017614,3.898507,-0.000000,-2.807061
20260718-163608-164,1,15,17.061832,13.143236,17.470013,14.126592,-1.017614,3.830090,0.008854,-2.807061
20260718-163608-164,1,16,17.111707,13.217611,17.586159,14.170761,-1.016728,3.761672,-0.000000,-2.754736
20260718-163608-164,1,17,17.161816,13.290564,17.711027,14.202686,-1.016728,3.681556,0.000000,-2.754736
20260718-163608-164,1,18,17.217602,13.359272,17.838049,14.224515,-1.016728,3.601440,0.000000,-2.754736
20260718-163608-164,1,19,17.278708,13.423296,17.966411,14.236108,-1.016728,3.521324,0.836786,-2.754736
20260718-163608-164,1,20,17.344742,13.482223,18.095289,14.237392,-0.933050,3.441208,0.846024,-2.797853
20260718-163608-164,1,21,17.412079,13.529009,18.209811,14.234150,-0.848447,3.376607,0.846452,-2.788650
20260718-163608-164,1,22,17.475215,13.568513,18.314092,14.224171,-0.763802,3.316154,0.846914,-2.779451
20260718-163608-164,1,23,17.533496,13.601542,18.407737,14.209245,-0.679111,3.260184,0.846400,-2.770255
20260718-163608-164,1,24,17.586377,13.628871,18.490546,14.191081,-0.594471,3.209034,0.848220,-2.789949
20260718-163608-164,1,25,17.634405,13.649690,18.561480,14.173266,-0.509649,3.166847,0.848627,-2.781440
20260718-163608-164,1,26,17.676005,13.666468,18.621873,14.155277,-0.424786,3.129724,0.849012,-2.772928
20260718-163608-164,1,27,17.710946,13.679748,18.671851,14.138292,-0.339885,3.097982,0.848847,-2.764411
20260718-163608-164,1,28,17.739056,13.689971,18.711576,14.123337,-0.255000,3.071939,0.850000,-3.131102
20260718-163608-164,1,29,17.764382,13.688434,18.737125,14.121297,-0.170000,3.071421,0.850000,-3.130868
20260718-163608-164,1,30,17.781263,13.687408,18.754159,14.119928,-0.085000,3.071069,0.850000,-3.130635
20260718-163608-164,1,31,17.789703,13.686895,18.762677,14.119239,0.000000,3.070889,0.850000,0.000000
20260718-163608-164,1,32,17.789703,13.686895,18.762677,14.119239,0.085000,3.070889,0.850000,0.000000
20260718-163608-164,1,33,17.781224,13.687496,18.754198,14.119840,0.170000,3.070889,0.850000,0.000000
20260718-163608-164,1,34,17.764267,13.688697,18.737241,14.121041,0.255000,3.070889,0.850000,0.000000
20260718-163608-164,1,35,17.738830,13.690498,18.711804,14.122842,0.340000,3.070889,0.849770,0.000000
20260718-163608-164,1,36,17.704915,13.692900,18.677889,14.125244,0.424977,3.070889,0.849851,-0.125813
20260718-163608-164,1,37,17.660334,13.701413,18.637750,14.123618,0.509962,3.060492,0.849806,-0.122890
20260718-163608-164,1,38,17.607020,13.712133,18.589507,14.122399,0.594943,3.048309,0.849759,-0.119967
20260718-163608-164,1,39,17.545063,13.725330,18.533147,14.121928,0.679919,3.034437,0.846225,-0.117043
20260718-163608-164,1,40,17.474566,13.741310,18.468665,14.122583,0.764541,3.018973,0.848624,-0.230070
20260718-163608-164,1,41,17.392707,13.770618,18.399412,14.117237,0.849404,2.984337,0.848452,-0.224193
20260718-163608-164,1,42,17.303175,13.806039,18.322156,14.114709,0.934249,2.946874,0.848295,-0.218315
20260718-163608-164,1,43,17.206465,13.848336,18.236998,14.115918,1.019078,2.906784,0.839008,-0.212435
20260718-163608-164,1,44,17.103141,13.898283,18.144117,14.121823,1.102979,2.864269,0.846461,-0.276280
20260718-163608-164,1,45,16.993082,13.966575,18.045667,14.126776,1.187625,2.803780,0.846311,-0.268430
20260718-163608-164,1,46,16.879514,14.046418,17.940114,14.139834,1.272256,2.740592,0.846214,-0.260576
20260718-163608-164,1,47,16.763723,14.138647,17.828166,14.162321,1.356878,2.674977,0.846171,-0.252716
20260718-163608-164,1,48,16.647104,14.243985,17.710707,14.195517,1.441495,2.607202,0.846186,-0.244851
20260718-163608-164,1,49,16.531152,14.363019,17.588801,14.240631,1.526113,2.537535,0.846260,-0.236980
20260718-163608-164,1,50,16.417440,14.496185,17.463684,14.298768,1.610739,2.466242,0.846393,-0.229104
20260718-163608-164,1,51,16.307598,14.643746,17.336752,14.370903,1.695379,2.393588,0.837191,-0.221222
20260718-163608-164,1,52,16.203290,14.805790,17.209542,14.457856,1.779098,2.319837,0.846262,-0.232121
20260718-163608-164,1,53,16.108566,14.986263,17.083219,14.557717,1.863724,2.238493,0.846627,-0.223537
20260718-163608-164,1,54,16.024364,15.181264,16.960666,14.674371,1.948387,2.156541,0.847054,-0.214947
20260718-163608-164,1,55,15.952455,15.390122,16.843931,14.807995,2.033092,2.074264,-0.000000,-0.206351
20260718-163608-164,1,56,15.894500,15.611962,16.735091,14.958504,2.033092,1.991945,0.000000,-0.206351
20260718-163608-164,1,57,15.854983,15.837816,16.638996,15.117453,2.033092,1.909627,0.000000,-0.206351
20260718-163608-164,1,58,15.834170,16.066155,16.556296,15.283765,2.033092,1.827308,-0.000000,-0.206351
20260718-163608-164,1,59,15.832203,16.295432,16.487551,15.456314,2.033092,1.744989,-0.000000,-0.206351
20260718-163608-164,1,60,15.849096,16.524094,16.433227,15.633931,2.033092,1.662670,0.000000,-0.206351
20260718-163608-164,1,61,15.884733,16.750593,16.393691,15.815413,2.033092,1.580351,-0.000000,-0.206351
20260718-163608-164,1,62,15.938873,16.973395,16.369213,15.999532,2.033092,1.498032,0.000000,-0.206351
20260718-163608-164,1,63,16.011151,17.190990,16.359956,16.185040,2.033092,1.415713,-0.025707,-0.206351
20260718-163608-164,1,64,16.101075,17.401905,16.365984,16.370681,2.030521,1.333395,-0.000000,-0.240779
20260718-163608-164,1,65,16.218183,17.605001,16.382567,16.553061,2.030521,1.236957,0.000000,-0.240779
20260718-163608-164,1,66,16.354302,17.795876,16.416633,16.732996,2.030521,1.140520,-0.000000,-0.240779
20260718-163608-164,1,67,16.508168,17.972759,16.467867,16.908815,2.030521,1.044083,-0.031401,-0.240779
20260718-163608-164,1,68,16.678350,18.134004,16.535792,17.078884,2.027381,0.947646,0.000000,-0.276515
20260718-163608-164,1,69,16.873211,18.274235,16.614359,17.241474,2.027381,0.836362,-0.000000,-0.276515
20260718-163608-164,1,70,17.082440,18.391959,16.710496,17.394333,2.027381,0.725078,-0.000000,-0.276515
20260718-163608-164,1,71,17.303449,18.485719,16.823015,17.535570,2.027381,0.613794,-0.000000,-0.276515
20260718-163608-164,1,72,17.533503,18.554355,16.950522,17.663438,2.027381,0.502509,-0.000000,-0.276515
20260718-163608-164,1,73,17.769757,18.597018,17.091441,17.776354,2.027381,0.391225,0.000000,-0.276515
20260718-163608-164,1,74,18.009287,18.613179,17.244029,17.872923,2.027381,0.279941,0.000000,-0.276515
20260718-163608-164,1,75,18.249130,18.602640,17.406397,17.951948,2.027381,0.168657,0.093970,-0.276515
20260718-163608-164,1,76,18.486319,18.565530,17.576536,18.012453,2.036778,0.057372,0.000000,0.141720
20260718-163608-164,1,77,18.672750,18.613770,17.795476,18.010455,2.036778,0.113581,-0.000000,0.141720
20260718-163608-164,1,78,18.856177,18.672407,18.014182,18.020760,2.036778,0.169790,-0.000000,0.141720
20260718-163608-164,1,79,19.036020,18.741256,18.231964,18.043335,2.036778,0.226000,0.021087,0.141720
20260718-163608-164,1,80,19.211711,18.820100,18.448134,18.078110,2.038887,0.282209,-0.000000,0.083574
20260718-163608-164,1,81,19.393196,18.895758,18.654543,18.128952,2.038887,0.315245,0.000000,0.083574
20260718-163608-164,1,82,19.572083,18.977370,18.859160,18.186584,2.038887,0.348281,-0.000000,0.083574
