run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-174428-829 opt=prioridades condiciones_iniciales=[{'id': 2, 'inicio': (22.54, 5.26), 'giro_inicial': 243.0, 'meta': (13.75, 7.78), 'angulo_llegada': 147.6, 'largo': 0.83, 'ancho': 0.49, 'v_max': 2.91, 'v_inicial': 0.0, 'a_max': 0.65, 'giro_max': 36.5, 'grupo': 1, 'prioridad': 1}, {'id': 3, 'inicio': (23.33, 19.36), 'giro_inicial': 48.9, 'meta': (9.64, 14.44), 'angulo_llegada': 57.1, 'largo': 0.93, 'ancho': 0.52, 'v_max': 2.55, 'v_inicial': 0.0, 'a_max': 0.82, 'giro_max': 36.2, 'grupo': 2, 'prioridad': 2}, {'id': 4, 'inicio': (16.85, 18.39), 'giro_inicial': 310.9, 'meta': (37.42, 16.06), 'angulo_llegada': 171.1, 'largo': 1.0, 'ancho': 0.55, 'v_max': 2.01, 'v_inicial': 0.0, 'a_max': 0.6, 'giro_max': 33.7, 'grupo': 1, 'prioridad': 1}, {'id': 5, 'inicio': (32.26, 8.49), 'giro_inicial': 117.5, 'meta': (16.98, 6.97), 'angulo_llegada': 78.6, 'largo': 0.81, 'ancho': 0.48, 'v_max': 2.84, 'v_inicial': 0.0, 'a_max': 0.77, 'giro_max': 28.4, 'grupo': 2, 'prioridad': 3}]
20260718-174428-829,2,0,22.569891,4.779005,22.510109,5.740995,0.065000,4.241150,0.650000,0.000000
20260718-174428-829,2,1,22.566940,4.773213,22.507159,5.735204,0.130000,4.241150,0.650000,0.000000
20260718-174428-829,2,2,22.561038,4.761630,22.501257,5.723621,0.195000,4.241150,0.650000,0.000000
20260718-174428-829,2,3,22.552185,4.744255,22.492404,5.706246,0.260000,4.241150,0.650000,0.000000
20260718-174428-829,2,4,22.540381,4.721089,22.480600,5.683080,0.325000,4.241150,0.650000,0.000000
20260718-174428-829,2,5,22.525626,4.692131,22.465845,5.654122,0.390000,4.241150,0.650000,0.000000
20260718-174428-829,2,6,22.507921,4.657382,22.448140,5.619373,0.455000,4.241150,0.650000,0.000000
20260718-174428-829,2,7,22.487264,4.616841,22.427483,5.578832,0.520000,4.241150,0.649960,0.000000
20260718-174428-829,2,8,22.463657,4.570509,22.403876,5.532500,0.584996,4.241150,0.649987,-0.028719
20260718-174428-829,2,9,22.435136,4.518377,22.378896,5.480581,0.649995,4.237469,0.649984,-0.028362
20260718-174428-829,2,10,22.403236,4.460581,22.350884,5.423005,0.714993,4.233429,0.649982,-0.028006
20260718-174428-829,2,11,22.367896,4.397162,22.319767,5.359806,0.779991,4.229042,0.649979,-0.027649
20260718-174428-829,2,12,22.329045,4.328161,22.285465,5.291021,0.844989,4.224316,0.649977,-0.027293
20260718-174428-829,2,13,22.286611,4.253624,22.247898,5.216693,0.909987,4.219263,0.649974,-0.026936
20260718-174428-829,2,14,22.240517,4.173602,22.206976,5.136864,0.974984,4.213892,0.649972,-0.026580
20260718-174428-829,2,15,22.190681,4.088146,22.162611,5.051583,1.039981,4.208214,0.649969,-0.026223
20260718-174428-829,2,16,22.137018,3.997313,22.114705,4.960901,1.104978,4.202239,0.649967,-0.025866
