run,vid,instante,x1,y1,x2,y2,v,theta,a,giro
# run=20260718-163414-834 opt=global condiciones_iniciales=[{'id': 1, 'inicio': (14.36, 7.85), 'giro_inicial': 230.6, 'meta': (28.11, 18.43), 'angulo_llegada': 220.3, 'largo': 0.72, 'ancho': 0.44, 'v_max': 2.79, 'v_inicial': 0.0, 'a_max': 0.73, 'giro_max': 36.8, 'grupo': 1, 'prioridad': 1}, {'id': 2, 'inicio': (31.43, 4.25), 'giro_inicial': 195.5, 'meta': (31.23, 8.03), 'angulo_llegada': 66.2, 'largo': 1.16, 'ancho': 0.61, 'v_max': 2.79, 'v_inicial': 0.0, 'a_max': 0.61, 'giro_max': 39.8, 'grupo': 2, 'prioridad': 2}, {'id': 3, 'inicio': (10.738, 7.824), 'giro_inicial': 132.082, 'meta': (25.555, 11.068), 'angulo_llegada': 313.708, 'largo': 0.73, 'ancho': 0.43, 'v_max': 2.39, 'v_inicial': 0.0, 'a_max': 0.86, 'giro_max': 36.4, 'grupo': 2, 'prioridad': 1}, {'id': 4, 'inicio': (29.51, 19.33), 'giro_inicial': 29.1, 'meta': (16.75, 13.08), 'angulo_llegada': 352.3, 'largo': 0.86, 'ancho': 0.44, 'v_max': 2.8, 'v_inicial': 0.0, 'a_max': 0.65, 'giro_max': 28.2, 'grupo': 2, 'prioridad': 2}, {'id': 5, 'inicio': (24.33, 5.01), 'giro_inicial': 219.0, 'meta': (31.57, 3.32), 'angulo_llegada': 235.3, 'largo': 0.7, 'ancho': 0.35, 'v_max': 2.78, 'v_inicial': 0.0, 'a_max': 0.86, 'giro_max': 29.4, 'grupo': 1, 'prioridad': 2}]
20260718-163414-834,1,0,14.301498,7.432175,14.418502,8.267825,-0.072993,4.024729,-0.729549,2.507670
20260718-163414-834,1,1,14.311722,7.437124,14.417391,8.274282,-0.145948,4.038280,-0.728832,2.515948
20260718-163414-834,1,2,14.331691,7.447511,14.415035,8.287186,-0.218831,4.064907,-0.727831,2.524156
20260718-163414-834,1,3,14.360707,7.464172,14.411048,8.306469,-0.291614,4.104144,-0.726592,2.532302
20260718-163414-834,1,4,14.397806,7.488223,14.404814,8.331995,-0.364274,4.155535,-0.725160,2.540396
20260718-163414-834,1,5,14.441713,7.520982,14.395505,8.363517,-0.436790,4.218629,-0.723574,2.548445
20260718-163414-834,1,6,14.490780,7.563866,14.382110,8.400640,-0.509147,4.292985,-0.721871,2.556458
20260718-163414-834,1,7,14.542942,7.618279,14.363473,8.442773,-0.581334,4.378169,0.721871,2.564442
20260718-163414-834,1,8,14.595681,7.685470,14.338343,8.489072,-0.509147,4.473752,0.723574,2.556458
